Date,Close,Volume
3-Jan-05,4.98,46700
4-Jan-05,4.96,34900
5-Jan-05,4.93,38400
6-Jan-05,4.9,13100
7-Jan-05,4.89,8700
10-Jan-05,4.85,20200
11-Jan-05,4.82,24400
12-Jan-05,4.88,10000
13-Jan-05,4.9,14700
14-Jan-05,4.89,20000
18-Jan-05,5.0,65800
19-Jan-05,5.01,29700
20-Jan-05,5.0,235100
21-Jan-05,4.96,39800
24-Jan-05,4.85,35100
25-Jan-05,4.94,20300
26-Jan-05,4.98,27700
27-Jan-05,4.95,19700
28-Jan-05,4.95,29400
31-Jan-05,4.97,33300
1-Feb-05,4.97,35600
2-Feb-05,4.98,21900
3-Feb-05,4.99,58000
4-Feb-05,4.99,82300
7-Feb-05,5.02,29800
8-Feb-05,5.04,19500
9-Feb-05,4.97,28500
10-Feb-05,5.05,24500
11-Feb-05,5.07,17800
14-Feb-05,5.05,31800
15-Feb-05,5.09,19400
16-Feb-05,5.12,20600
17-Feb-05,5.28,33100
18-Feb-05,5.34,25200
22-Feb-05,5.39,42000
23-Feb-05,5.53,63800
24-Feb-05,5.61,31600
25-Feb-05,5.23,119500
28-Feb-05,5.0,146200
1-Mar-05,5.05,88800
2-Mar-05,5.06,39000
3-Mar-05,5.08,16900
4-Mar-05,5.13,37300
7-Mar-05,5.1,48800
8-Mar-05,5.1,29800
9-Mar-05,5.12,25000
10-Mar-05,5.12,20000
11-Mar-05,5.12,25900
14-Mar-05,5.14,8100
15-Mar-05,5.18,43100
16-Mar-05,5.15,26900
17-Mar-05,5.2,148900
18-Mar-05,5.31,99500
21-Mar-05,5.35,36300
22-Mar-05,5.4,45600
23-Mar-05,5.45,37500
24-Mar-05,5.6,51200
28-Mar-05,5.55,123500
29-Mar-05,5.5,25300
30-Mar-05,5.51,18900
31-Mar-05,5.57,35800
1-Apr-05,5.52,40600
4-Apr-05,5.57,40900
5-Apr-05,5.54,51700
6-Apr-05,5.55,39100
7-Apr-05,5.52,104900
8-Apr-05,5.56,80800
11-Apr-05,5.55,31800
12-Apr-05,5.54,47000
13-Apr-05,5.45,53000
14-Apr-05,5.51,53300
15-Apr-05,5.5,44500
18-Apr-05,5.85,70200
19-Apr-05,6.2,108800
20-Apr-05,6.1,64500
21-Apr-05,6.1,53900
22-Apr-05,6.01,25300
25-Apr-05,6.05,56800
26-Apr-05,6.04,17600
27-Apr-05,6.0,42100
28-Apr-05,6.02,14500
29-Apr-05,6.0,81500
2-May-05,6.1,108400
3-May-05,6.19,30700
4-May-05,6.14,22200
5-May-05,6.0,31300
6-May-05,6.0,37800
9-May-05,6.0,42100
10-May-05,6.02,31500
11-May-05,5.87,45400
12-May-05,5.55,63600
13-May-05,5.55,34100
16-May-05,5.44,67800
17-May-05,5.75,87400
18-May-05,5.7,29500
19-May-05,5.66,38000
20-May-05,5.54,20200
23-May-05,5.66,13100
24-May-05,5.63,32600
25-May-05,5.58,15300
26-May-05,5.67,13300
27-May-05,5.68,5900
31-May-05,5.88,7400
1-Jun-05,5.83,13500
2-Jun-05,5.8,28900
3-Jun-05,5.9,29000
